Train Loss, Train Acc, Val Loss, Val Acc
4.68800364,0.278038067,3.766667201,0.275569491
3.387702719,0.306093546,4.97098629,0.200235368
3.246853559,0.316197605,3.562195011,0.330913819
3.233517343,0.32222475,3.505624225,0.309459148
3.184422301,0.327211772,3.560316305,0.300085588
3.182585316,0.327926857,3.581177951,0.313656264
3.181383863,0.331386197,3.633400309,0.304636579
3.181251176,0.332212724,3.622689584,0.323622358
3.190105941,0.334436917,3.580312822,0.315047074
3.213051133,0.337473707,3.654644162,0.306142603
3.2397,0.338,3.6071,0.3158
3.2451,0.3422,3.6246,0.317
3.2596,0.3434,3.7283,0.3124
3.2831,0.3438,3.7819,0.3156
3.306,0.3456,3.7991,0.3115
3.3292,0.3462,3.7527,0.3192
3.3544,0.3478,3.7195,0.325
3.3689,0.3477,3.7587,0.3188
3.3933,0.3497,3.817,0.3226
3.4026,0.3506,3.844,0.3247
3.4224,0.3516,3.7997,0.3277
3.4574,0.3522,3.8713,0.3202
3.4693,0.3548,3.8882,0.3251
3.4823,0.3566,3.9216,0.3233
3.4977,0.3584,4.1338,0.3199
3.528,0.3584,4.0343,0.3228
3.5408,0.3622,4.1155,0.3201
3.5574,0.362,4.0897,0.3265
3.5696,0.3647,4.1748,0.3192
3.5999,0.3666,4.1852,0.3349
3.6116,0.3667,4.2382,0.3224
3.6317,0.3682,4.2028,0.3294
3.6441,0.3708,4.2485,0.3317
3.6629,0.3748,4.292,0.3245
3.6865,0.3738,4.2714,0.3281
3.6978,0.374,4.2322,0.3407
3.7245,0.3766,4.3127,0.3393
3.7437,0.3765,4.2897,0.3354
3.7422,0.3783,4.473,0.3382
3.7685,0.3791,4.4897,0.3336
3.787,0.3803,4.4191,0.3352
3.7977,0.3809,4.4103,0.3314
3.8215,0.3825,4.64,0.3288
3.8427,0.3828,4.6435,0.3313
3.8606,0.385,4.5597,0.334
3.8815,0.3852,4.5496,0.3412
3.8905,0.3869,4.4405,0.3368
3.9097,0.388,4.7793,0.3336
3.923,0.3886,4.726,0.3386
3.9455,0.3896,4.6372,0.3383
3.9515,0.3902,4.7956,0.3353
3.9796,0.3922,4.5731,0.3399
3.9791,0.3929,4.6407,0.3392
4.0044,0.3933,4.6455,0.3399
4.0102,0.3957,4.6811,0.3408
4.0387,0.3967,4.7964,0.3338
4.0436,0.3993,4.9405,0.3385
4.0819,0.3983,4.7588,0.3417
4.0767,0.3991,5.0185,0.337
4.1045,0.4006,4.9189,0.3396
4.1068,0.4015,4.8835,0.3408
4.1515,0.4026,4.7561,0.3419
4.1451,0.4034,4.8996,0.3395
4.1845,0.406,5.2288,0.3387
4.1908,0.406,5.123,0.3408
4.2033,0.406,4.9736,0.3455
4.2252,0.4072,4.9577,0.3492
4.2252,0.4069,5.1433,0.336
4.2332,0.4093,5.2327,0.3386
4.2619,0.4092,5.2256,0.3393
4.2809,0.41,5.0885,0.343
4.2889,0.411,5.1069,0.3402
4.2988,0.4128,5.3474,0.3368
4.3056,0.4129,5.3279,0.3413
4.3348,0.4135,5.2589,0.3399
4.3457,0.4141,5.2498,0.3413
4.3605,0.4148,5.1953,0.3384
4.3693,0.4149,5.4079,0.3375
4.3886,0.4143,5.3597,0.339
4.3966,0.4171,5.4725,0.3329
4.4063,0.4186,5.3008,0.3397
4.4278,0.417,5.4911,0.3378
4.4458,0.4177,5.2959,0.3414
4.4542,0.4183,5.6962,0.3345
4.4639,0.4196,5.66,0.3444
4.4687,0.421,5.2774,0.3454
4.4709,0.4198,5.6189,0.3384
4.4983,0.4216,5.6551,0.3383
4.5032,0.4223,5.6349,0.3355
4.5292,0.423,5.6202,0.3419
4.5386,0.4228,5.6603,0.3374
4.5448,0.4239,5.7874,0.341
4.5685,0.4232,5.7837,0.3339
4.5746,0.4246,5.917,0.3385
4.6029,0.4254,5.7143,0.3416
4.5888,0.4253,5.6282,0.3463
4.618,0.4263,6.113,0.3396
4.6287,0.4272,5.8978,0.3359
4.6301,0.4275,5.8167,0.3443
4.6704,0.4286,5.6852,0.3413
4.6659,0.4288,5.708,0.3435
4.6453,0.4296,5.7931,0.3451
4.6728,0.43,5.8842,0.3428
4.6804,0.4313,5.9586,0.3363
4.7047,0.4309,5.9944,0.3439
4.7023,0.4313,6.105,0.3454
4.7405,0.4319,5.8894,0.3389
4.7356,0.4323,5.9436,0.3417
4.7384,0.4319,5.863,0.3464
4.7662,0.4323,5.9809,0.3384
4.7731,0.4346,5.8985,0.3385
4.7649,0.4325,5.9394,0.3457
4.7841,0.4348,5.972,0.3408
